Time,Usage_kW,Unnamed: 2,Usage_kWh,Day,Network_Cost_kWh,Network_Cost_kW,Retail_Cost_kWh,Feed_in
2022-05-28 06:45:00,28.09,27/5/2022 21:45,7.0225,Saturday,0.0,0.0,0.0,0.0
2022-05-28 07:00:00,18.82,,4.705,Saturday,0.0,0.0,0.0,0.0
2022-05-28 07:15:00,15.08,,3.77,Saturday,0.0,0.0,0.0,0.0
2022-05-28 07:30:00,6.89,,1.7225,Saturday,0.0,0.0,0.0,0.0
2022-05-28 07:45:00,14.66,,3.665,Saturday,0.0,0.0,0.0,0.0
2022-05-28 08:00:00,22.48,,5.62,Saturday,0.0,0.0,0.0,0.0
2022-05-28 08:15:00,20.36,,5.09,Saturday,0.0,0.0,0.0,0.0
2022-05-28 08:30:00,17.06,,4.265,Saturday,0.0,0.0,0.0,0.0
2022-05-28 08:45:00,13.14,,3.285,Saturday,0.0,0.0,0.0,0.0
2022-05-28 09:00:00,14.66,,3.665,Saturday,0.0,0.0,0.0,0.0
2022-05-28 09:15:00,15.66,,3.915,Saturday,0.0,0.0,0.0,0.0
2022-05-28 09:30:00,16.51,,4.1275,Saturday,0.0,0.0,0.0,0.0
2022-05-28 09:45:00,12.4,,3.1,Saturday,0.0,0.0,0.0,0.0
2022-05-28 10:00:00,12.39,,3.0975,Saturday,0.0,0.0,0.0,0.0
2022-05-28 10:15:00,13.11,,3.2775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 10:30:00,7.47,,1.8675,Saturday,0.0,0.0,0.0,0.0
2022-05-28 10:45:00,11.11,,2.7775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 11:00:00,27.43,,6.8575,Saturday,0.0,0.0,0.0,0.0
2022-05-28 11:15:00,12.53,,3.1325,Saturday,0.0,0.0,0.0,0.0
2022-05-28 11:30:00,11.23,,2.8075,Saturday,0.0,0.0,0.0,0.0
2022-05-28 11:45:00,6.24,,1.56,Saturday,0.0,0.0,0.0,0.0
2022-05-28 12:00:00,9.26,,2.315,Saturday,0.0,0.0,0.0,0.0
2022-05-28 12:15:00,5.73,,1.4325,Saturday,0.0,0.0,0.0,0.0
2022-05-28 12:30:00,-0.1,,-0.025,Saturday,0.0,0.0,0.0,0.0
2022-05-28 12:45:00,24.84,,6.21,Saturday,0.0,0.0,0.0,0.0
2022-05-28 13:00:00,6.43,,1.6075,Saturday,0.0,0.0,0.0,0.0
2022-05-28 13:15:00,6.72,,1.68,Saturday,0.0,0.0,0.0,0.0
2022-05-28 13:30:00,1.87,,0.4675,Saturday,0.0,0.0,0.0,0.0
2022-05-28 13:45:00,15.07,,3.7675,Saturday,0.0,0.0,0.0,0.0
2022-05-28 14:00:00,1.61,,0.4025,Saturday,0.0,0.0,0.0,0.0
2022-05-28 14:15:00,5.41,,1.3525,Saturday,0.0,0.0,0.0,0.0
2022-05-28 14:30:00,11.87,,2.9675,Saturday,0.0,0.0,0.0,0.0
2022-05-28 14:45:00,7.13,,1.7825,Saturday,0.0,0.0,0.0,0.0
2022-05-28 15:00:00,12.74,,3.185,Saturday,0.0,0.0,0.0,0.0
2022-05-28 15:15:00,15.91,,3.9775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 15:30:00,19.16,,4.79,Saturday,0.0,0.0,0.0,0.0
2022-05-28 15:45:00,17.25,,4.3125,Saturday,0.0,0.0,0.0,0.0
2022-05-28 16:00:00,22.37,,5.5925,Saturday,0.0,0.0,0.0,0.0
2022-05-28 16:15:00,22.95,,5.7375,Saturday,0.0,0.0,0.0,0.0
2022-05-28 16:30:00,27.27,,6.8175,Saturday,0.0,0.0,0.0,0.0
2022-05-28 16:45:00,27.96,,6.99,Saturday,0.0,0.0,0.0,0.0
2022-05-28 17:00:00,28.07,,7.0175,Saturday,0.0,0.0,0.0,0.0
2022-05-28 17:15:00,27.39,,6.8475,Saturday,0.0,0.0,0.0,0.0
2022-05-28 17:30:00,28.2,,7.05,Saturday,0.0,0.0,0.0,0.0
2022-05-28 17:45:00,28.25,,7.0625,Saturday,0.0,0.0,0.0,0.0
2022-05-28 18:00:00,27.47,,6.8675,Saturday,0.0,0.0,0.0,0.0
2022-05-28 18:15:00,27.83,,6.9575,Saturday,0.0,0.0,0.0,0.0
2022-05-28 18:30:00,28.31,,7.0775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 18:45:00,27.94,,6.985,Saturday,0.0,0.0,0.0,0.0
2022-05-28 19:00:00,27.25,,6.8125,Saturday,0.0,0.0,0.0,0.0
2022-05-28 19:15:00,28.23,,7.0575,Saturday,0.0,0.0,0.0,0.0
2022-05-28 19:30:00,28.28,,7.07,Saturday,0.0,0.0,0.0,0.0
2022-05-28 19:45:00,28.31,,7.0775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 20:00:00,28.22,,7.055,Saturday,0.0,0.0,0.0,0.0
2022-05-28 20:15:00,28.34,,7.085,Saturday,0.0,0.0,0.0,0.0
2022-05-28 20:30:00,28.31,,7.0775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 20:45:00,27.32,,6.83,Saturday,0.0,0.0,0.0,0.0
2022-05-28 21:00:00,28.22,,7.055,Saturday,0.0,0.0,0.0,0.0
2022-05-28 21:15:00,27.46,,6.865,Saturday,0.0,0.0,0.0,0.0
2022-05-28 21:30:00,28.31,,7.0775,Saturday,0.0,0.0,0.0,0.0
2022-05-28 21:45:00,28.34,,7.085,Saturday,0.0,0.0,0.0,0.0
2022-05-28 22:00:00,27.56,,6.89,Saturday,0.0,0.0,0.0,0.0
2022-05-28 22:15:00,27.19,,6.7975,Saturday,0.0,0.0,0.0,0.0
2022-05-28 22:30:00,28.34,,7.085,Saturday,0.0,0.0,0.0,0.0
2022-05-28 22:45:00,28.24,,7.06,Saturday,0.0,0.0,0.0,0.0
2022-05-28 23:00:00,27.9,,6.975,Saturday,0.0,0.0,0.0,0.0
2022-05-28 23:15:00,28.27,,7.0675,Saturday,0.0,0.0,0.0,0.0
2022-05-28 23:30:00,28.33,,7.0825,Saturday,0.0,0.0,0.0,0.0
2022-05-28 23:45:00,28.37,,7.0925,Saturday,0.0,0.0,0.0,0.0
2022-05-29 00:00:00,18.69,,4.6725,Sunday,0.0,0.0,0.0,0.0
2022-05-29 00:15:00,17.94,,4.485,Sunday,0.0,0.0,0.0,0.0
2022-05-29 00:30:00,16.36,,4.09,Sunday,0.0,0.0,0.0,0.0
2022-05-29 00:45:00,24.02,,6.005,Sunday,0.0,0.0,0.0,0.0
2022-05-29 01:00:00,17.07,,4.2675,Sunday,0.0,0.0,0.0,0.0
2022-05-29 01:15:00,23.39,,5.8475,Sunday,0.0,0.0,0.0,0.0
2022-05-29 01:30:00,14.77,,3.6925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 01:45:00,23.29,,5.8225,Sunday,0.0,0.0,0.0,0.0
2022-05-29 02:00:00,15.71,,3.9275,Sunday,0.0,0.0,0.0,0.0
2022-05-29 02:15:00,18.17,,4.5425,Sunday,0.0,0.0,0.0,0.0
2022-05-29 02:30:00,14.53,,3.6325,Sunday,0.0,0.0,0.0,0.0
2022-05-29 02:45:00,15.96,,3.99,Sunday,0.0,0.0,0.0,0.0
2022-05-29 03:00:00,14.3,,3.575,Sunday,0.0,0.0,0.0,0.0
2022-05-29 03:15:00,15.31,,3.8275,Sunday,0.0,0.0,0.0,0.0
2022-05-29 03:30:00,17.51,,4.3775,Sunday,0.0,0.0,0.0,0.0
2022-05-29 03:45:00,16.84,,4.21,Sunday,0.0,0.0,0.0,0.0
2022-05-29 04:00:00,15.12,,3.78,Sunday,0.0,0.0,0.0,0.0
2022-05-29 04:15:00,19.7,,4.925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 04:30:00,27.55,,6.8875,Sunday,0.0,0.0,0.0,0.0
2022-05-29 04:45:00,27.96,,6.99,Sunday,0.0,0.0,0.0,0.0
2022-05-29 05:00:00,25.98,,6.495,Sunday,0.0,0.0,0.0,0.0
2022-05-29 05:15:00,26.18,,6.545,Sunday,0.0,0.0,0.0,0.0
2022-05-29 05:30:00,26.84,,6.71,Sunday,0.0,0.0,0.0,0.0
2022-05-29 05:45:00,26.06,,6.515,Sunday,0.0,0.0,0.0,0.0
2022-05-29 06:00:00,26.16,,6.54,Sunday,0.0,0.0,0.0,0.0
2022-05-29 06:15:00,27.62,,6.905,Sunday,0.0,0.0,0.0,0.0
2022-05-29 06:30:00,27.93,,6.9825,Sunday,0.0,0.0,0.0,0.0
2022-05-29 06:45:00,27.08,,6.77,Sunday,0.0,0.0,0.0,0.0
2022-05-29 07:00:00,28.35,,7.0875,Sunday,0.0,0.0,0.0,0.0
2022-05-29 07:15:00,28.04,,7.01,Sunday,0.0,0.0,0.0,0.0
2022-05-29 07:30:00,28.38,,7.095,Sunday,0.0,0.0,0.0,0.0
2022-05-29 07:45:00,15.58,,3.895,Sunday,0.0,0.0,0.0,0.0
2022-05-29 08:00:00,13.07,,3.2675,Sunday,0.0,0.0,0.0,0.0
2022-05-29 08:15:00,16.66,,4.165,Sunday,0.0,0.0,0.0,0.0
2022-05-29 08:30:00,13.57,,3.3925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 08:45:00,12.65,,3.1625,Sunday,0.0,0.0,0.0,0.0
2022-05-29 09:00:00,6.28,,1.57,Sunday,0.0,0.0,0.0,0.0
2022-05-29 09:15:00,8.98,,2.245,Sunday,0.0,0.0,0.0,0.0
2022-05-29 09:30:00,7.77,,1.9425,Sunday,0.0,0.0,0.0,0.0
2022-05-29 09:45:00,3.0,,0.75,Sunday,0.0,0.0,0.0,0.0
2022-05-29 10:00:00,1.77,,0.4425,Sunday,0.0,0.0,0.0,0.0
2022-05-29 10:15:00,0.17,,0.0425,Sunday,0.0,0.0,0.0,0.0
2022-05-29 10:30:00,1.37,,0.3425,Sunday,0.0,0.0,0.0,0.0
2022-05-29 10:45:00,0.02,,0.005,Sunday,0.0,0.0,0.0,0.0
2022-05-29 11:00:00,0.12,,0.03,Sunday,0.0,0.0,0.0,0.0
2022-05-29 11:15:00,2.46,,0.615,Sunday,0.0,0.0,0.0,0.0
2022-05-29 11:30:00,17.39,,4.3475,Sunday,0.0,0.0,0.0,0.0
2022-05-29 11:45:00,1.56,,0.39,Sunday,0.0,0.0,0.0,0.0
2022-05-29 12:00:00,0.05,,0.0125,Sunday,0.0,0.0,0.0,0.0
2022-05-29 12:15:00,9.46,,2.365,Sunday,0.0,0.0,0.0,0.0
2022-05-29 12:30:00,5.66,,1.415,Sunday,0.0,0.0,0.0,0.0
2022-05-29 12:45:00,0.04,,0.01,Sunday,0.0,0.0,0.0,0.0
2022-05-29 13:00:00,27.36,,6.84,Sunday,0.0,0.0,0.0,0.0
2022-05-29 13:15:00,25.65,,6.4125,Sunday,0.0,0.0,0.0,0.0
2022-05-29 13:30:00,12.65,,3.1625,Sunday,0.0,0.0,0.0,0.0
2022-05-29 13:45:00,17.62,,4.405,Sunday,0.0,0.0,0.0,0.0
2022-05-29 14:00:00,8.4,,2.1,Sunday,0.0,0.0,0.0,0.0
2022-05-29 14:15:00,14.24,,3.56,Sunday,0.0,0.0,0.0,0.0
2022-05-29 14:30:00,16.21,,4.0525,Sunday,0.0,0.0,0.0,0.0
2022-05-29 14:45:00,15.09,,3.7725,Sunday,0.0,0.0,0.0,0.0
2022-05-29 15:00:00,18.32,,4.58,Sunday,0.0,0.0,0.0,0.0
2022-05-29 15:15:00,19.06,,4.765,Sunday,0.0,0.0,0.0,0.0
2022-05-29 15:30:00,21.4,,5.35,Sunday,0.0,0.0,0.0,0.0
2022-05-29 15:45:00,24.14,,6.035,Sunday,0.0,0.0,0.0,0.0
2022-05-29 16:00:00,26.88,,6.72,Sunday,0.0,0.0,0.0,0.0
2022-05-29 16:15:00,26.41,,6.6025,Sunday,0.0,0.0,0.0,0.0
2022-05-29 16:30:00,27.85,,6.9625,Sunday,0.0,0.0,0.0,0.0
2022-05-29 16:45:00,28.33,,7.0825,Sunday,0.0,0.0,0.0,0.0
2022-05-29 17:00:00,28.31,,7.0775,Sunday,0.0,0.0,0.0,0.0
2022-05-29 17:15:00,25.52,,6.38,Sunday,0.0,0.0,0.0,0.0
2022-05-29 17:30:00,28.28,,7.07,Sunday,0.0,0.0,0.0,0.0
2022-05-29 17:45:00,28.33,,7.0825,Sunday,0.0,0.0,0.0,0.0
2022-05-29 18:00:00,28.15,,7.0375,Sunday,0.0,0.0,0.0,0.0
2022-05-29 18:15:00,27.25,,6.8125,Sunday,0.0,0.0,0.0,0.0
2022-05-29 18:30:00,28.35,,7.0875,Sunday,0.0,0.0,0.0,0.0
2022-05-29 18:45:00,28.37,,7.0925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 19:00:00,27.31,,6.8275,Sunday,0.0,0.0,0.0,0.0
2022-05-29 19:15:00,28.2,,7.05,Sunday,0.0,0.0,0.0,0.0
2022-05-29 19:30:00,28.37,,7.0925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 19:45:00,28.4,,7.1,Sunday,0.0,0.0,0.0,0.0
2022-05-29 20:00:00,28.37,,7.0925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 20:15:00,27.69,,6.9225,Sunday,0.0,0.0,0.0,0.0
2022-05-29 20:30:00,28.4,,7.1,Sunday,0.0,0.0,0.0,0.0
2022-05-29 20:45:00,28.39,,7.0975,Sunday,0.0,0.0,0.0,0.0
2022-05-29 21:00:00,28.17,,7.0425,Sunday,0.0,0.0,0.0,0.0
2022-05-29 21:15:00,27.99,,6.9975,Sunday,0.0,0.0,0.0,0.0
2022-05-29 21:30:00,28.39,,7.0975,Sunday,0.0,0.0,0.0,0.0
2022-05-29 21:45:00,28.35,,7.0875,Sunday,0.0,0.0,0.0,0.0
2022-05-29 22:00:00,27.9,,6.975,Sunday,0.0,0.0,0.0,0.0
2022-05-29 22:15:00,27.23,,6.8075,Sunday,0.0,0.0,0.0,0.0
2022-05-29 22:30:00,28.35,,7.0875,Sunday,0.0,0.0,0.0,0.0
2022-05-29 22:45:00,28.29,,7.0725,Sunday,0.0,0.0,0.0,0.0
2022-05-29 23:00:00,28.3,,7.075,Sunday,0.0,0.0,0.0,0.0
2022-05-29 23:15:00,28.39,,7.0975,Sunday,0.0,0.0,0.0,0.0
2022-05-29 23:30:00,28.37,,7.0925,Sunday,0.0,0.0,0.0,0.0
2022-05-29 23:45:00,28.39,,7.0975,Sunday,0.0,0.0,0.0,0.0
2022-05-30 00:00:00,28.38,,7.095,Monday,0.303666,289.47599999999994,0.326689275,0.0
2022-05-30 00:15:00,28.39,,7.0975,Monday,0.303773,289.578,0.3268043875,0.0
2022-05-30 00:30:00,28.4,,7.1,Monday,0.30388,289.67999999999995,0.32691950000000003,0.0
2022-05-30 00:45:00,23.54,,5.885,Monday,0.251878,240.10799999999998,0.27097482500000003,0.0
2022-05-30 01:00:00,15.14,,3.785,Monday,0.161998,154.428,0.174280325,0.0
2022-05-30 01:15:00,15.35,,3.8375,Monday,0.16424499999999997,156.57,0.1766976875,0.0
2022-05-30 01:30:00,16.64,,4.16,Monday,0.17804799999999998,169.72799999999998,0.19154720000000003,0.0
2022-05-30 01:45:00,17.06,,4.265,Monday,0.18254199999999998,174.01199999999997,0.19638192499999998,0.0
2022-05-30 02:00:00,16.77,,4.1925,Monday,0.179439,171.05399999999997,0.19304366250000002,0.0
2022-05-30 02:15:00,14.63,,3.6575,Monday,0.156541,149.226,0.1684095875,0.0
2022-05-30 02:30:00,17.7,,4.425,Monday,0.18938999999999998,180.54,0.203749125,0.0
2022-05-30 02:45:00,16.33,,4.0825,Monday,0.17473099999999997,166.56599999999997,0.18797871249999998,0.0
2022-05-30 03:00:00,14.88,,3.72,Monday,0.159216,151.776,0.1712874,0.0
2022-05-30 03:15:00,14.93,,3.7325,Monday,0.15975099999999998,152.28599999999997,0.1718629625,0.0
2022-05-30 03:30:00,16.81,,4.2025,Monday,0.17986699999999997,171.462,0.1935041125,0.0
2022-05-30 03:45:00,17.31,,4.3275,Monday,0.18521699999999996,176.56199999999998,0.1992597375,0.0
2022-05-30 04:00:00,14.62,,3.655,Monday,0.156434,149.124,0.168294475,0.0
2022-05-30 04:15:00,18.97,,4.7425,Monday,0.20297899999999997,193.49399999999997,0.2183684125,0.0
2022-05-30 04:30:00,23.46,,5.865,Monday,0.251022,239.292,0.27005392500000003,0.0
2022-05-30 04:45:00,27.79,,6.9475,Monday,0.297353,283.45799999999997,0.3198976375,0.0
2022-05-30 05:00:00,26.87,,6.7175,Monday,0.287509,274.074,0.3093072875,0.0
2022-05-30 05:15:00,25.62,,6.405,Monday,0.274134,261.324,0.29491822500000003,0.0
2022-05-30 05:30:00,27.09,,6.7725,Monday,0.289863,276.318,0.3118397625,0.0
2022-05-30 05:45:00,28.41,,7.1025,Monday,0.303987,289.782,0.32703461250000004,0.0
2022-05-30 06:00:00,27.91,,6.9775,Monday,0.298637,284.68199999999996,0.3212789875,0.0
2022-05-30 06:15:00,26.67,,6.6675,Monday,0.285369,272.034,0.3070050375,0.0
2022-05-30 06:30:00,28.04,,7.01,Monday,0.30002799999999996,286.008,0.32277545,0.0
2022-05-30 06:45:00,28.23,,7.0575,Monday,0.30206099999999997,287.94599999999997,0.3249625875,0.0
2022-05-30 07:00:00,26.6,,6.65,Monday,0.45552500000000007,271.32,0.6909749000000001,0.0
