Time,Usage_kW,
28/5/2022 6:45,28.09,27/5/2022 21:45
28/5/2022 7:00,18.82,
28/5/2022 7:15,15.08,
28/5/2022 7:30,6.89,
28/5/2022 7:45,14.66,
28/5/2022 8:00,22.48,
28/5/2022 8:15,20.36,
28/5/2022 8:30,17.06,
28/5/2022 8:45,13.14,
28/5/2022 9:00,14.66,
28/5/2022 9:15,15.66,
28/5/2022 9:30,16.51,
28/5/2022 9:45,12.4,
28/5/2022 10:00,12.39,
28/5/2022 10:15,13.11,
28/5/2022 10:30,7.47,
28/5/2022 10:45,11.11,
28/5/2022 11:00,27.43,
28/5/2022 11:15,12.53,
28/5/2022 11:30,11.23,
28/5/2022 11:45,6.24,
28/5/2022 12:00,9.26,
28/5/2022 12:15,5.73,
28/5/2022 12:30,-0.1,
28/5/2022 12:45,24.84,
28/5/2022 13:00,6.43,
28/5/2022 13:15,6.72,
28/5/2022 13:30,1.87,
28/5/2022 13:45,15.07,
28/5/2022 14:00,1.61,
28/5/2022 14:15,5.41,
28/5/2022 14:30,11.87,
28/5/2022 14:45,7.13,
28/5/2022 15:00,12.74,
28/5/2022 15:15,15.91,
28/5/2022 15:30,19.16,
28/5/2022 15:45,17.25,
28/5/2022 16:00,22.37,
28/5/2022 16:15,22.95,
28/5/2022 16:30,27.27,
28/5/2022 16:45,27.96,
28/5/2022 17:00,28.07,
28/5/2022 17:15,27.39,
28/5/2022 17:30,28.2,
28/5/2022 17:45,28.25,
28/5/2022 18:00,27.47,
28/5/2022 18:15,27.83,
28/5/2022 18:30,28.31,
28/5/2022 18:45,27.94,
28/5/2022 19:00,27.25,
28/5/2022 19:15,28.23,
28/5/2022 19:30,28.28,
28/5/2022 19:45,28.31,
28/5/2022 20:00,28.22,
28/5/2022 20:15,28.34,
28/5/2022 20:30,28.31,
28/5/2022 20:45,27.32,
28/5/2022 21:00,28.22,
28/5/2022 21:15,27.46,
28/5/2022 21:30,28.31,
28/5/2022 21:45,28.34,
28/5/2022 22:00,27.56,
28/5/2022 22:15,27.19,
28/5/2022 22:30,28.34,
28/5/2022 22:45,28.24,
28/5/2022 23:00,27.9,
28/5/2022 23:15,28.27,
28/5/2022 23:30,28.33,
28/5/2022 23:45,28.37,
29/5/2022 0:00,18.69,
29/5/2022 0:15,17.94,
29/5/2022 0:30,16.36,
29/5/2022 0:45,24.02,
29/5/2022 1:00,17.07,
29/5/2022 1:15,23.39,
29/5/2022 1:30,14.77,
29/5/2022 1:45,23.29,
29/5/2022 2:00,15.71,
29/5/2022 2:15,18.17,
29/5/2022 2:30,14.53,
29/5/2022 2:45,15.96,
29/5/2022 3:00,14.3,
29/5/2022 3:15,15.31,
29/5/2022 3:30,17.51,
29/5/2022 3:45,16.84,
29/5/2022 4:00,15.12,
29/5/2022 4:15,19.7,
29/5/2022 4:30,27.55,
29/5/2022 4:45,27.96,
29/5/2022 5:00,25.98,
29/5/2022 5:15,26.18,
29/5/2022 5:30,26.84,
29/5/2022 5:45,26.06,
29/5/2022 6:00,26.16,
29/5/2022 6:15,27.62,
29/5/2022 6:30,27.93,
29/5/2022 6:45,27.08,
29/5/2022 7:00,28.35,
29/5/2022 7:15,28.04,
29/5/2022 7:30,28.38,
29/5/2022 7:45,15.58,
29/5/2022 8:00,13.07,
29/5/2022 8:15,16.66,
29/5/2022 8:30,13.57,
29/5/2022 8:45,12.65,
29/5/2022 9:00,6.28,
29/5/2022 9:15,8.98,
29/5/2022 9:30,7.77,
29/5/2022 9:45,3,
29/5/2022 10:00,1.77,
29/5/2022 10:15,0.17,
29/5/2022 10:30,1.37,
29/5/2022 10:45,0.02,
29/5/2022 11:00,0.12,
29/5/2022 11:15,2.46,
29/5/2022 11:30,17.39,
29/5/2022 11:45,1.56,
29/5/2022 12:00,0.05,
29/5/2022 12:15,9.46,
29/5/2022 12:30,5.66,
29/5/2022 12:45,0.04,
29/5/2022 13:00,27.36,
29/5/2022 13:15,25.65,
29/5/2022 13:30,12.65,
29/5/2022 13:45,17.62,
29/5/2022 14:00,8.4,
29/5/2022 14:15,14.24,
29/5/2022 14:30,16.21,
29/5/2022 14:45,15.09,
29/5/2022 15:00,18.32,
29/5/2022 15:15,19.06,
29/5/2022 15:30,21.4,
29/5/2022 15:45,24.14,
29/5/2022 16:00,26.88,
29/5/2022 16:15,26.41,
29/5/2022 16:30,27.85,
29/5/2022 16:45,28.33,
29/5/2022 17:00,28.31,
29/5/2022 17:15,25.52,
29/5/2022 17:30,28.28,
29/5/2022 17:45,28.33,
29/5/2022 18:00,28.15,
29/5/2022 18:15,27.25,
29/5/2022 18:30,28.35,
29/5/2022 18:45,28.37,
29/5/2022 19:00,27.31,
29/5/2022 19:15,28.2,
29/5/2022 19:30,28.37,
29/5/2022 19:45,28.4,
29/5/2022 20:00,28.37,
29/5/2022 20:15,27.69,
29/5/2022 20:30,28.4,
29/5/2022 20:45,28.39,
29/5/2022 21:00,28.17,
29/5/2022 21:15,27.99,
29/5/2022 21:30,28.39,
29/5/2022 21:45,28.35,
29/5/2022 22:00,27.9,
29/5/2022 22:15,27.23,
29/5/2022 22:30,28.35,
29/5/2022 22:45,28.29,
29/5/2022 23:00,28.3,
29/5/2022 23:15,28.39,
29/5/2022 23:30,28.37,
29/5/2022 23:45,28.39,
30/5/2022 0:00,28.38,
30/5/2022 0:15,28.39,
30/5/2022 0:30,28.4,
30/5/2022 0:45,23.54,
30/5/2022 1:00,15.14,
30/5/2022 1:15,15.35,
30/5/2022 1:30,16.64,
30/5/2022 1:45,17.06,
